0,1,2,3,4
0,A1BG,9606.ENSP00000263100,P04217,0.4865342163355409
1,A1CF,9606.ENSP00000378868,Q9NQ94,0.6853752759381898
2,A2M,9606.ENSP00000323929,P01023,0.0887417218543044
3,A2ML1,9606.ENSP00000299698,A8K2U0,0.1122516556291388
4,A3GALT2,9606.ENSP00000475261,U3KPV4,0.6875827814569537
5,A4GALT,9606.ENSP00000384794,Q9NPC4,0.3748896247240617
6,A4GNT,9606.ENSP00000236709,Q9UNA3,0.4261037527593819
7,AAAS,9606.ENSP00000209873,Q9NRG9,0.0077814569536424
8,AACS,9606.ENSP00000324842,Q86V21,0.8821192052980132
9,AADAC,9606.ENSP00000232892,P22760,0.9628587196467993
10,AADACL2,9606.ENSP00000348911,Q6P093,0.8235651214128036
11,AADACL3,9606.ENSP00000352268,Q5VUY0,0.9772075055187638
12,AADACL4,9606.ENSP00000365395,Q5VUY2,0.8270971302428256
13,AADAT,9606.ENSP00000423190,Q8N5Z0,0.8357615894039735
14,AAGAB,9606.ENSP00000261880,Q6PD74,0.1949227373068432
15,AAK1,9606.ENSP00000386456,Q2M2I8,0.65060706401766
16,AAMDC,9606.ENSP00000307254,Q9H7C9,0.487141280353201
17,AAMP,9606.ENSP00000403343,Q13685,0.5838852097130243
18,AANAT,9606.ENSP00000250615,Q16613,0.756346578366446
19,AAR2,9606.ENSP00000363043,Q9Y312,0.9382450331125828
20,AARD,9606.ENSP00000367528,Q4LEZ3,0.6656732891832231
21,AARS1,9606.ENSP00000261772,P49588,0.1656732891832232
22,AARS2,9606.ENSP00000244571,Q5JTZ9,0.150000000000004
23,AARSD1,9606.ENSP00000400870,Q9BTE6,0.1405629139072891
24,AASDH,9606.ENSP00000205214,Q4L235,0.7378035320088299
25,AASDHPPT,9606.ENSP00000278618,Q9NRN7,0.8360375275938191
26,AASS,9606.ENSP00000403768,Q9UDR5,0.4362030905077263
27,AATF,9606.ENSP00000477848,Q9NY61,0.4964128035320088
28,AATK,9606.ENSP00000324196,Q6ZMQ8,0.2878035320088299
29,ABAT,9606.ENSP00000379845,P80404,0.8454194260485652
30,ABCA1,9606.ENSP00000363868,O95477,0.2333885209713025
31,ABCA10,9606.ENSP00000269081,Q8WWZ4,0.667991169977925
32,ABCA12,9606.ENSP00000272895,Q86UK0,0.3985651214128033
33,ABCA2,9606.ENSP00000344155,Q9BZC7,0.315176600441501
34,ABCA3,9606.ENSP00000301732,Q99758,0.1869205298013246
35,ABCA4,9606.ENSP00000359245,P78363,0.8953090507726269
36,ABCA5,9606.ENSP00000376443,Q8WWZ7,0.7300772626931566
37,ABCA6,9606.ENSP00000284425,Q8N139,0.5426048565121412
38,ABCA7,9606.ENSP00000263094,Q8IZY2,0.3372516556291391
39,ABCA8,9606.ENSP00000467271,O94911,0.2787527593818987
40,ABCA9,9606.ENSP00000342216,Q8IUA7,0.4055739514348785
41,ABCB1,9606.ENSP00000478255,P08183,0.7268211920529802
